Date,Time,D1_Counts,D2_Counts,Coincidences
2026-08-02,10:15:00,127,111,1
2026-08-02,10:20:00,131,122,3
2026-08-02,10:25:00,113,128,1
2026-08-02,10:30:00,139,113,2
2026-08-02,10:35:00,158,88,2
2026-08-02,10:40:00,146,83,2
2026-08-02,10:45:00,140,83,1
2026-08-02,10:50:00,116,109,3
2026-08-02,10:55:00,142,113,3
2026-08-02,11:00:00,130,130,5
2026-08-02,11:05:00,145,117,2
2026-08-02,11:10:00,154,133,6
2026-08-02,11:15:00,131,131,5
2026-08-02,11:20:00,128,129,3
2026-08-02,11:25:00,142,145,3
2026-08-02,11:30:00,133,81,1
2026-08-02,11:35:00,157,105,6
2026-08-02,11:40:00,131,133,2
2026-08-02,11:45:00,179,116,1
2026-08-02,11:50:00,145,130,3
2026-08-02,11:55:00,132,137,1
2026-08-02,12:00:00,133,122,1
2026-08-02,12:05:00,150,139,3
2026-08-02,12:10:00,119,127,2
2026-08-02,12:15:00,125,116,1
2026-08-02,12:20:00,150,108,4
