Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-08,00:00:00,105,79,2
2026-09-08,00:05:00,106,73,1
2026-09-08,00:10:00,109,100,10
2026-09-08,00:15:00,117,87,4
2026-09-08,00:20:00,107,94,6
2026-09-08,00:25:00,91,79,3
2026-09-08,00:30:00,105,102,4
2026-09-08,00:35:00,91,108,4
2026-09-08,00:40:00,104,103,1
2026-09-08,00:45:00,127,91,0
2026-09-08,00:50:00,119,109,5
2026-09-08,00:55:00,120,112,3
2026-09-08,01:00:00,90,103,2
2026-09-08,01:05:00,98,106,3
2026-09-08,01:10:00,110,86,6
2026-09-08,01:15:00,97,94,1
2026-09-08,01:20:00,122,93,1
2026-09-08,01:25:00,102,102,2
