Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-28,00:00:00,990.02,17.24,1016.00,91.00
2026-08-28,00:05:00,990.05,17.24,1016.00,91.00
2026-08-28,00:10:00,990.07,17.93,1015.00,88.00
2026-08-28,00:15:00,990.08,17.93,1015.00,88.00
2026-08-28,00:20:00,990.09,17.93,1015.00,88.00
2026-08-28,00:25:00,990.10,16.24,1016.00,89.00
2026-08-28,00:30:00,990.12,16.24,1016.00,89.00
2026-08-28,00:35:00,990.13,16.24,1016.00,89.00
2026-08-28,00:40:00,990.14,16.24,1016.00,92.00
2026-08-28,00:45:00,990.15,16.24,1016.00,92.00
2026-08-28,00:50:00,990.17,16.24,1016.00,92.00
